OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610417;1961;4;17;3355000;6705000;3.9;11.7;-3.3;0.0;17136;5.04;0.60;118.0
Vihti;355641;6700134;Vihti;226;19610418;1961;4;18;3355000;6705000;6.1;12.7;-3.3;0.0;19428;5.65;1.70;118.0
Vihti;355641;6700134;Vihti;226;19610419;1961;4;19;3355000;6705000;3.7;8.6;-2.7;0.0;10917;4.87;1.70;118.0
Vihti;355641;6700134;Vihti;226;19610420;1961;4;20;3355000;6705000;1.7;5.7;-1.8;0.0;18352;3.71;1.70;118.0
Vihti;355641;6700134;Vihti;226;19610421;1961;4;21;3355000;6705000;2.1;8.7;-6.5;0.0;20046;3.84;1.70;118.0
Vihti;355641;6700134;Vihti;226;19610422;1961;4;22;3355000;6705000;4.1;9.8;-2.6;0.0;19380;4.45;1.70;118.0
Vihti;355641;6700134;Vihti;226;19610423;1961;4;23;3355000;6705000;5.8;15.3;-4.5;0.0;21144;5.20;2.50;118.0
Vihti;355641;6700134;Vihti;226;19610424;1961;4;24;3355000;6705000;6.4;16.2;-2.8;0.0;17984;5.97;3.90;118.0
Vihti;355641;6700134;Vihti;226;19610425;1961;4;25;3355000;6705000;8.9;18.3;-2.3;0.0;21018;6.70;7.80;118.0
Vihti;355641;6700134;Vihti;226;19610426;1961;4;26;3355000;6705000;9.9;19.0;-2.5;0.0;21848;6.06;12.70;118.0
Vihti;355641;6700134;Vihti;226;19610427;1961;4;27;3355000;6705000;8.6;15.9;-3.0;0.0;19803;5.84;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610428;1961;4;28;3355000;6705000;3.1;8.3;-1.8;0.0;17723;3.71;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610429;1961;4;29;3355000;6705000;2.4;8.4;-7.1;0.0;18883;4.16;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610430;1961;4;30;3355000;6705000;4.5;9.1;0.0;0.0;15640;4.73;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610501;1961;5;1;3355000;6705000;2.2;8.7;-6.0;0.0;22425;3.59;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610502;1961;5;2;3355000;6705000;4.0;12.1;-6.0;0.0;18711;4.40;16.30;118.0
Vihti;355641;6700134;Vihti;226;19610503;1961;5;3;3355000;6705000;7.4;14.7;-4.1;0.0;22169;5.18;18.70;118.0
Vihti;355641;6700134;Vihti;226;19610504;1961;5;4;3355000;6705000;8.9;16.4;-2.0;1.0;18970;7.40;22.60;119.0
Vihti;355641;6700134;Vihti;226;19610505;1961;5;5;3355000;6705000;9.3;15.2;7.4;1.0;15912;9.65;26.90;120.0
Vihti;355641;6700134;Vihti;226;19610506;1961;5;6;3355000;6705000;7.7;10.7;3.7;8.0;6469;10.15;29.60;128.0
Vihti;355641;6700134;Vihti;226;19610507;1961;5;7;3355000;6705000;10.3;14.1;7.3;2.0;18677;9.26;34.90;130.0
Vihti;355641;6700134;Vihti;226;19610508;1961;5;8;3355000;6705000;7.4;10.6;3.8;11.0;8086;10.14;37.30;141.0
Vihti;355641;6700134;Vihti;226;19610509;1961;5;9;3355000;6705000;7.5;10.4;5.4;0.0;9913;8.58;39.80;141.0
Vihti;355641;6700134;Vihti;226;19610510;1961;5;10;3355000;6705000;9.4;14.0;3.7;0.0;17690;7.92;44.20;141.0
Vihti;355641;6700134;Vihti;226;19610511;1961;5;11;3355000;6705000;6.7;9.6;3.1;0.0;10127;7.52;45.90;141.0
Vihti;355641;6700134;Vihti;226;19610512;1961;5;12;3355000;6705000;7.8;11.1;6.6;0.0;8298;9.28;48.70;141.0
Vihti;355641;6700134;Vihti;226;19610513;1961;5;13;3355000;6705000;7.7;11.3;5.3;0.0;11051;8.79;51.40;141.0
Vihti;355641;6700134;Vihti;226;19610514;1961;5;14;3355000;6705000;9.1;12.4;6.9;2.0;12447;9.69;55.50;143.0
Vihti;355641;6700134;Vihti;226;19610515;1961;5;15;3355000;6705000;10.7;13.4;7.7;0.0;13539;8.95;61.20;143.0
Vihti;355641;6700134;Vihti;226;19610516;1961;5;16;3355000;6705000;10.2;13.7;5.7;0.0;15959;8.40;66.40;143.0
